user_id,username,frequency,avg_message_length,total_messages,url_ratio,repetition_ratio,time_in_channel,suspicious_links,generic_name,username_length,has_numbers,has_underscore,numeric_ratio,uppercase_ratio,special_char_count,is_bot
31860719,Emijdwtt,0.017857142857142856,19.333333333333332,3,0.0,1.0,168,0,0,8,0,0,0.0,0.125,0,0
56338145,sofiii11pp,0.5652173913043478,38.02564102564103,39,1.0,19.5,69,0,0,10,1,0,0.2,0.0,0,1
32018715,NicolasOvando,0.013157894736842105,9.0,1,0.0,1.0,76,0,0,13,0,0,0.0,0.15384615384615385,0,0
48377625,p3drix,0.008264462809917356,56.0,1,0.0,1.0,121,0,0,6,1,0,0.16666666666666666,0.0,0,0
48997988,KASHI_292,0.05555555555555555,62.0,1,1.0,1.0,18,0,0,9,1,1,0.3333333333333333,0.5555555555555556,1,1
32943640,Bajardo,0.023809523809523808,14.0,1,0.0,1.0,42,0,0,7,0,0,0.0,0.14285714285714285,0,0
81574657,error710s,0.023668639053254437,16.0,4,0.0,1.0,169,0,0,9,1,0,0.3333333333333333,0.0,0,0
48997988,KASHI_292,0.05555555555555555,62.0,1,1.0,1.0,18,0,0,9,1,1,0.3333333333333333,0.5555555555555556,1,1
79548796,dragonmaster98,0.031007751937984496,129.75,4,0.75,2.0,129,0,0,14,1,0,0.14285714285714285,0.0,0,1
42374411,mg0m3z,0.037037037037037035,18.5,2,0.0,1.0,54,0,0,6,1,0,0.3333333333333333,0.0,0,0
31994924,Labandejamktt,0.017857142857142856,75.0,1,1.0,1.0,56,0,0,13,0,0,0.0,0.07692307692307693,0,1
79567656,KANSASANYMORE,0.5,49.333333333333336,3,1.0,1.0,6,0,0,13,0,0,0.0,1.0,0,1
52556355,RenatalvsMatiasRecalt,0.2087912087912088,76.15789473684211,19,0.7368421052631579,1.1176470588235294,91,0,0,21,0,0,0.0,0.14285714285714285,0,1
